Index,Round,Institution,Program,Degree,Quota,Category,Gender,Opening Rank,Closing Rank,Institution 2,Program 2,Degree 2,Quota 2,Category 2,Gender 2,Opening Rank 2,Closing Rank 2
4797.0,Round 2,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,626049.0,945757.0,,,,,,,,
,,,,,,,,,,Round 2,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,504763.0
4799.0,Round 2,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Electronic And Computer Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,656041.0,681361.0,,,,,,,,
,,,,,,,,,,Round 2,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,445870.0
4801.0,Round 2,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,378314.0,378314.0,,,,,,,,
,,,,,,,,,,Round 2,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,917453.0
4803.0,Round 2,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,268641.0,268641.0,,,,,,,,
,,,,,,,,,,Round 2,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,924625.0
4805.0,Round 2,"R.D.ENGINEERING COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,748643.0,1267675.0,,,,,,,,
,,,,,,,,,,Round 2,"SUNDERDEEP ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1250788.0
4807.0,Round 2,"SUNDERDEEP ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,509045.0,1035532.0,,,,,,,,
,,,,,,,,,,Round 2,"J.P..INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,331554.0
4809.0,Round 2,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,325153.0,1355086.0,,,,,,,,
,,,,,,,,,,Round 2,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,270307.0
4811.0,Round 2,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,463973.0,489251.0,,,,,,,,
,,,,,,,,,,Round 2,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,279543.0
4813.0,Round 2,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,425642.0,714811.0,,,,,,,,
,,,,,,,,,,Round 2,"NARAINA COLLEGE OF ENGINEERING & TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,889531.0
4815.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,171061.0,315380.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,510797.0
4817.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,452110.0,708928.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,551372.0
4819.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,453316.0,709754.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,656552.0
4821.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,337498.0,507624.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,315631.0
4823.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,144568.0,187459.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,126915.0
4825.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,741483.0,744015.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,BC,Both Male and Female Seats,502846.0
4827.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,747416.0,747416.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,544602.0
4829.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,419120.0,532410.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,377063.0
4831.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,1333235.0,1333235.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,161280.0
4833.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,240576.0,418491.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC(Girl),Female Seats,750132.0
4835.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,742379.0,1247642.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,EWS(GL),Female Seats,782073.0
4837.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,745760.0,1177773.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,877149.0
4839.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,480453.0,673712.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN,Both Male and Female Seats,442734.0
4841.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,100409.0,283298.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,70466.0
4843.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,63754.0,72243.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,98192.0
4845.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,BC,Both Male and Female Seats,75558.0,78312.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,EWS(GL),Female Seats,90012.0
4847.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,75525.0,76949.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,98731.0
4849.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,78813.0,84922.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,72361.0
4851.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,SC(Girl),Female Seats,275104.0,275104.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,226780.0
4853.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,66911.0,67464.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,98679.0
4855.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,BC(Girl),Female Seats,176511.0,183320.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,135622.0
4857.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,140904.0,143829.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,147669.0
4859.0,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,116793.0,134283.0,,,,,,,,
,,,,,,,,,,Round 2,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Mechanical Engineering,B.Tech,Home State,SC(Girl),Female Seats,440748.0
4861.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,300518.0,428299.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,BC(Girl),Female Seats,1068311.0
4863.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,BC,Both Male and Female Seats,784696.0,1396781.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,EWS(GL),Female Seats,781937.0
4865.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,892631.0,1059911.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(GIRL),Female Seats,538179.0
4867.0,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,446781.0,784332.0,,,,,,,,
,,,,,,,,,,Round 2,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,173398.0
4869.0,Round 2,"MEERUT INSTITUTE OF TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,809832.0,809832.0,,,,,,,,
,,,,,,,,,,Round 2,"MEERUT INSTITUTE OF TECHNOLOGY,MEERUT",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,518922.0
4871.0,Round 2,"MEERUT INSTITUTE OF TECHNOLOGY,MEERUT",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,623282.0,1001054.0,,,,,,,,
,,,,,,,,,,Round 2,"DEEWAN V.S. INSTITUTE OF ENGINEERING & TECHNOLOGY, MEERUT,MEERUT",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1128153.0
4873.0,Round 2,"ABSS INSTITUTE OF TECHNOLOGY, MEERUT,MEERUT",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,428654.0,1376656.0,,,,,,,,
,,,,,,,,,,Round 2,"RAKSHPAL BAHADUR COLLEGE OF ENGINEERING & TECHNOLOGY,BAREILLY",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1136347.0
4875.0,Round 2,"RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,376795.0,1161807.0,,,,,,,,
,,,,,,,,,,Round 2,"RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1217289.0
4877.0,Round 2,"RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1173163.0,1346643.0,,,,,,,,
,,,,,,,,,,Round 2,"RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,GHAZIABAD",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,304544.0
4879.0,Round 2,"RAJKIYA ENGINEERING COLLEGE,BANDA",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,602250.0,1297093.0,,,,,,,,
,,,,,,,,,,Round 2,"RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,GHAZIABAD",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,651114.0
4881.0,Round 2,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,628440.0,788850.0,,,,,,,,
,,,,,,,,,,Round 2,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,750367.0
4883.0,Round 2,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,835135.0,835135.0,,,,,,,,
,,,,,,,,,,Round 2,"SETH VISHAMBHAR NATH INSTITUTE OF ENGG. & TECHNOLOGY,BARABANKI",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,571005.0
4885.0,Round 2,"SETH VISHAMBHAR NATH INSTITUTE OF ENGG. & TECHNOLOGY,BARABANKI",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,1264046.0,1354943.0,,,,,,,,
,,,,,,,,,,Round 2,"MAHARANA INSTITUTE OF PROFESSIONAL STUDIES,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,616198.0
4887.0,Round 2,"KRISHNA INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,335496.0,833767.0,,,,,,,,
,,,,,,,,,,Round 2,"KRISHNA INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,271742.0
4889.0,Round 2,"KRISHNA INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,745115.0,829545.0,,,,,,,,
,,,,,,,,,,Round 2,"APOLLO INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,685140.0
4891.0,Round 2,"RAMESHWARAM INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,457670.0,1411305.0,,,,,,,,
,,,,,,,,,,Round 2,"RAMESHWARAM INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,541570.0
4893.0,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,765510.0,992793.0,,,,,,,,
,,,,,,,,,,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1112449.0
4895.0,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1195781.0,1403334.0,,,,,,,,
,,,,,,,,,,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,365594.0
4897.0,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,750107.0,750107.0,,,,,,,,
,,,,,,,,,,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,495816.0
4899.0,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,940813.0,940813.0,,,,,,,,
,,,,,,,,,,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,1095286.0
4901.0,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,672375.0,672375.0,,,,,,,,
,,,,,,,,,,Round 2,"GOEL INSTITUTE OF TECHNOLOGY & MANAGEMENT,LUCKNOW",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,1243198.0
4903.0,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Civil Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,1213811.0,1213811.0,,,,,,,,
,,,,,,,,,,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,571644.0
4905.0,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1086754.0,1415058.0,,,,,,,,
,,,,,,,,,,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,245185.0
4907.0,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,1255999.0,1255999.0,,,,,,,,
,,,,,,,,,,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1318687.0
4909.0,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,132969.0,1032557.0,,,,,,,,
,,,,,,,,,,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,1249052.0
4911.0,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,494477.0,494477.0,,,,,,,,
,,,,,,,,,,Round 2,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Design (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,404830.0
4913.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,853665.0,853665.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,94202.0
4915.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,1054858.0,1054858.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,624407.0
4917.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,830728.0,830728.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,886212.0
4919.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,409100.0,487403.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,328987.0
4921.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1110473.0,1110473.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,228387.0
4923.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,219787.0,595957.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,769294.0
4925.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,907420.0,1008727.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,353033.0
4927.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,551871.0,551871.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,496687.0
4929.0,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,1278665.0,1278665.0,,,,,,,,
,,,,,,,,,,Round 2,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,481608.0
4931.0,Round 2,"AMBALIKA INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,280142.0,1237651.0,,,,,,,,
,,,,,,,,,,Round 2,"AMBALIKA INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,184378.0
4933.0,Round 2,"AMBALIKA INSTITUTE OF MANAGEMENT & TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,421006.0,1294075.0,,,,,,,,
